DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities
Kaushambi,MANJHANPUR,SC,HEMANT KUMAR,M,SC,47,SP,33717,3,0,Post Graduate,"Rs 40,66,311",Rs 0
Kaushambi,MANJHANPUR,SC,INDRAJEET SAROJ,M,SC,55,BSP,88658,2,0,Graduate,"Rs 8,08,23,337","Rs 1,22,76,546"
Kaushambi,MANJHANPUR,SC,LAL BAHADUR,M,SC,56,BJP,92818,1,0,Post Graduate,"Rs 1,51,28,263","Rs 51,92,000"
Kaushambi,MANJHANPUR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,3949,4,0,0,0,0
Gonda,MANKAPUR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2769,4,0,0,0,0
Gonda,MANKAPUR,SC,RAM BISHUN AZAD,M,SC,60,SP,24695,3,0,Graduate Professional,"Rs 1,72,30,989","Rs 12,00,000"
Gonda,MANKAPUR,SC,RAMAPATI  SHASTRI,M,SC,67,BJP,102862,1,0,Graduate,"Rs 2,88,24,281",Rs 0
Gonda,MANKAPUR,SC,RAMESH CHANDRA,M,SC,50,BSP,42701,2,0,Post Graduate,"Rs 5,06,99,000",Rs 0
Mathura,MANT,GEN,JAGDISH SINGH,M,GEN,45,INC,13270,4,0,12th Pass,"Rs 6,36,00,032",Rs 0
Mathura,MANT,GEN,SHYAM SUNDER SHARMA,M,GEN,67,BSP,65862,1,0,Post Graduate,"Rs 5,98,50,000","Rs 95,53,000"
Mathura,MANT,GEN,YOGESH CHAUDHARY,M,GEN,44,RLD,65430,2,0,Graduate,"Rs 10,84,09,140","Rs 43,17,567"
Etah,MARHARA,GEN,AMIT GAURAV,M,GEN,41,SP,59075,2,0,12th Pass,"Rs 1,88,47,992",Rs 0
Etah,MARHARA,GEN,SHALABH MAHESHWARI,M,GEN,42,BSP,31966,3,0,12th Pass,"Rs 15,28,26,503","Rs 29,55,159"
Mirzapur,MARIHAN,GEN,AWADHESH KUMAR SINGH,M,GEN,47,BSP,52782,3,0,12th Pass,"Rs 7,86,76,102","Rs 2,32,50,000"
Mirzapur,MARIHAN,GEN,SIDDHARTH SHEKHAR BAUDDH,M,SC,26,IND,2787,4,0,Graduate,"Rs 1,07,000",Rs 0
Jaunpur,MARIYAHU,GEN,LEENA,F,GEN,40,ADAL,58804,1,0,Not Given,"Rs 93,28,461",Rs 0
Baharaich,MATERA,GEN,ARUN VEER SINGH,M,GEN,58,BJP,77593,2,0,Graduate,"Rs 7,67,34,011",Rs 0
Baharaich,MATERA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2717,4,0,0,0,0
Baharaich,MATERA,GEN,YASAR SHAH,M,GEN,39,SP,79188,1,0,Post Graduate,"Rs 7,16,69,614","Rs 2,38,76,343"
Mathura,MATHURA,GEN,ASHOK AGRAWAL,M,GEN,62,RLD,29080,4,0,Post Graduate,"Rs 11,88,30,734","Rs 1,47,24,363"
Mathura,MATHURA,GEN,PRADEEP MATHUR,M,GEN,61,INC,42200,2,0,Not Given,"Rs 3,24,37,428","Rs 29,38,794"
