DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities
Gautam Buddha Nagar,NOIDA,GEN,PANKAJ SINGH,M,GEN,38,BJP,162417,1,0,Graduate,"Rs 3,03,93,622","Rs 15,00,000"
Gautam Buddha Nagar,NOIDA,GEN,RAVIKANT,M,GEN,40,BSP,27365,3,0,10th Pass,"Rs 6,47,19,420","Rs 1,72,04,384"
Gautam Buddha Nagar,NOIDA,GEN,SUNIL CHOUDHARY,M,GEN,38,SP,58401,2,0,12th Pass,"Rs 15,33,68,960","Rs 8,58,000"
Bijnor,NOORPUR,GEN,VIJAYPAL SINGH,M,GEN,67,MD,5338,4,0,Graduate,"Rs 86,79,600","Rs 11,50,000"
Sonbhadra,OBRA (ST),ST,RAVI GOND,M,ST,28,SP,33789,2,0,Post Graduate,"Rs 18,50,920","Rs 4,68,665"
Sonbhadra,OBRA (ST),ST,SANJIV KUMAR,M,ST,41,BJP,78058,1,0,Graduate,"Rs 87,95,105",Rs 0
Sonbhadra,OBRA (ST),ST,SUBHASH KHARVAR,M,ST,47,IND,6198,4,0,12th Pass,"Rs 39,57,000","Rs 4,50,000"
Sonbhadra,OBRA (ST),ST,VIRENDRA PRATAP SINGH,M,ST,33,BSP,29113,3,0,Graduate Professional,"Rs 4,27,617",Rs 0
Jalaun,ORAI,SC,MAHENDRA SINGH,M,SC,30,SP,61606,2,0,Post Graduate,"Rs 3,48,80,813","Rs 10,20,000"
Jalaun,ORAI,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2169,4,0,0,0,0
Jalaun,ORAI,SC,VIJAY CHAUDHARI,M,SC,51,BSP,57541,3,0,Post Graduate,"Rs 1,64,27,591","Rs 31,00,000"
Kushinagar,PADRAUNA,GEN,SHIVKUMARI,F,GEN,60,INC,41162,3,0,Literate,"Rs 2,48,50,040","Rs 7,36,712"
Kheri,PALIA,GEN,HARVINDER KUMAR SAHANI,M,GEN,52,BJP,118069,1,0,Graduate,"Rs 14,55,82,676","Rs 4,48,90,200"
Kheri,PALIA,GEN,RAMNARESH,M,ST,37,RKMP,7795,4,0,Not Given,"Rs 21,93,400","Rs 5,00,000"
Kheri,PALIA,GEN,SAIF ALI NAQVI,M,GEN,36,INC,48841,2,0,Post Graduate,"Rs 55,94,176",Rs 0
Kheri,PALIA,GEN,VIRENDRA KUMAR AGRWAL,M,GEN,71,BSP,43436,3,0,Graduate Professional,"Rs 4,16,27,867","Rs 31,75,000"
Maharajganj,PANIYRA,GEN,GANESH SHANKAR PANDEY,M,GEN,59,BSP,51817,2,0,Graduate,"Rs 9,49,98,858",Rs 0
Maharajganj,PANIYRA,GEN,GYANENDRA,M,GEN,59,BJP,119308,1,0,10th Pass,"Rs 88,62,485","Rs 8,00,000"
Maharajganj,PANIYRA,GEN,SUMAN,F,GEN,54,NINSHAD,10762,4,0,12th Pass,"Rs 95,00,000","Rs 3,60,000"
Maharajganj,PANIYRA,GEN,TALAT AZIZ,F,GEN,65,INC,48004,3,0,Graduate Professional,"Rs 4,52,63,966","Rs 7,69,570"
Deoria,PATHARDEVA,GEN,HARUN ALI,M,GEN,32,PECP,4139,4,0,Post Graduate,"Rs 1,01,22,000",Rs 0
Deoria,PATHARDEVA,GEN,NEERAJ,M,GEN,39,BSP,22790,3,0,10th Pass,"Rs 3,12,50,000","Rs 1,00,00,000"
Kasganj,PATIYALI,GEN,DHEERENDRA BAHADUR SINGH CHAUHAN    DHEERU,M,GEN,40,BSP,44131,3,0,Graduate,"Rs 3,23,60,741","Rs 12,03,975"
Kasganj,PATIYALI,GEN,KIRAN YADAV,F,GEN,44,SP,68643,2,0,12th Pass,"Rs 1,65,47,523",Rs 0
Kasganj,PATIYALI,GEN,MAMTESH,M,GEN,44,BJP,72414,1,0,Graduate,"Rs 2,19,03,435","Rs 8,00,000"
Kasganj,PATIYALI,GEN,SHYAMSUNDAR,M,GEN,48,MD,10586,4,0,Post Graduate,"Rs 25,59,36,269","Rs 10,08,607"
Pratapgarh,PATTI,GEN,KUNWAR SHAKTI SINGH,M,GEN,55,BSP,46427,3,0,12th Pass,"Rs 7,14,76,607","Rs 14,27,488"
Pratapgarh,PATTI,GEN,RAJENDRA PRATAP SINGH ALIAS MOTI,M,GEN,62,BJP,75011,1,0,Graduate Professional,"Rs 9,48,53,871","Rs 30,94,040"
Pratapgarh,PATTI,GEN,RAM SINGH,M,GEN,35,SP,73538,2,0,Post Graduate,"Rs 64,19,118","Rs 9,44,867"
Pratapgarh,PATTI,GEN,VIJAY,M,GEN,32,NINSHAD,3025,4,0,12th Pass,"Rs 7,10,000",Rs 0
Baharaich,PAYAGPUR,GEN,MOHD. MUSHRAF,M,GEN,47,BSP,29122,3,0,12th Pass,"Rs 9,84,44,003",Rs 0
Allahabad,PHAPHAMAU,GEN,ANSAR AHMAD,M,GEN,62,SP,57254,2,0,8th Pass,"Rs 5,33,71,112","Rs 6,71,646"
Allahabad,PHAPHAMAU,GEN,VIKRAMAJEET MAURYA,M,GEN,61,BJP,83239,1,0,Graduate Professional,"Rs 5,15,09,909",Rs 0
Maharajganj,PHARENDA,GEN,BAJRANG BAHADUR SINGH,M,GEN,45,BJP,76312,1,0,Graduate,"Rs 5,66,39,946","Rs 35,88,640"
Maharajganj,PHARENDA,GEN,VECHAN,M,GEN,45,BSP,35765,3,0,12th Pass,"Rs 41,10,840",Rs 0
Maharajganj,PHARENDA,GEN,VIJAY SINGH,M,GEN,51,RLD,2742,4,0,10th Pass,"Rs 2,00,000",Rs 0
Ballia,PHEPHANA,GEN,AMBIKA CHOUDHARY,M,GEN,66,BSP,52691,2,0,Graduate Professional,"Rs 14,11,34,466","Rs 1,23,20,725"
Ballia,PHEPHANA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1473,4,0,0,0,0
Ballia,PHEPHANA,GEN,SANGRAM SINGH YADAV,M,GEN,66,SP,50016,3,0,Graduate Professional,"Rs 1,82,60,109","Rs 37,00,000"
Azamgarh,PHOOLPUR PAWAI,GEN,ABUL QAIS AZMI,M,GEN,34,BSP,61140,2,0,10th Pass,"Rs 69,63,184",Rs 0
Allahabad,PHULPUR,GEN,MOHAMMED MASROOR SHAIKH,M,GEN,54,BSP,50421,3,0,8th Pass,"Rs 32,44,48,328","Rs 13,93,93,730"
Allahabad,PHULPUR,GEN,PRAVEEN KUMAR SINGH,M,GEN,38,BJP,93912,1,0,Post Graduate,"Rs 8,26,89,156","Rs 1,84,299"
Allahabad,PHULPUR,GEN,RAM KISHUN SINGH,M,GEN,52,IND,2048,4,0,Post Graduate,"Rs 11,19,717",Rs 0
PILIBHIT,PILIBHIT,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1818,4,0,0,0,0
PILIBHIT,PILIBHIT,GEN,RIAZ AHMAD,M,GEN,58,SP,93130,2,0,Post Graduate,"Rs 4,09,11,025","Rs 24,95,000"
PILIBHIT,PILIBHIT,GEN,SANJAY SINGH GANGWAR,M,GEN,43,BJP,136486,1,0,Graduate,"Rs 2,42,64,912","Rs 1,10,78,980"
Varanasi,PINDRA,GEN,AJAY RAI,M,GEN,47,INC,48189,3,0,Graduate,"Rs 1,11,41,579",Rs 0
Varanasi,PINDRA,GEN,AVADHESH SINGH,M,GEN,62,BJP,90614,1,0,Doctorate,"Rs 2,76,72,434","Rs 18,03,653"
Varanasi,PINDRA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2889,4,0,0,0,0
Gorakhpur,PIPRAICH,GEN,AMRENDRA NISHAD,M,GEN,27,SP,51031,3,0,Graduate,"Rs 1,38,53,893","Rs 3,47,435"
Gorakhpur,PIPRAICH,GEN,ANITA JAISWAL,F,GEN,46,IND,31073,4,0,Graduate,"Rs 24,15,72,204","Rs 2,95,01,036"
Gorakhpur,PIPRAICH,GEN,MAHENDRA PAL SINGH,M,GEN,37,BJP,82739,1,0,Graduate,"Rs 14,24,51,747","Rs 50,57,737"
Shahjahanpur,POWAYAN,SC,CHET RAM,M,SC,56,BJP,126635,1,0,Graduate Professional,"Rs 1,30,15,732",Rs 0
Shahjahanpur,POWAYAN,SC,GUR BACHAN LAL,M,SC,64,BSP,38797,3,0,Post Graduate,"Rs 3,92,44,838","Rs 6,12,640"
Shahjahanpur,POWAYAN,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2065,4,0,0,0,0
Shahjahanpur,POWAYAN,SC,SHAKUNTLA DEVI,F,SC,54,SP,54218,2,0,8th Pass,"Rs 3,96,96,991","Rs 89,94,027"
Pratapgarh,PRATAPGARH,GEN,ASHOK TRIPATHI,M,GEN,43,BSP,41750,3,0,Graduate,"Rs 1,11,42,938","Rs 86,80,000"
Pratapgarh,PRATAPGARH,GEN,NAGENDRA SINGH &QUOT; MUNNA YADAV&QUOT;,M,GEN,49,SP,46274,2,0,Graduate Professional,"Rs 3,18,05,874","Rs 39,00,000"
Pratapgarh,PRATAPGARH,GEN,SHIV RAM SHUKLA,M,GEN,65,IND,3426,4,0,Graduate,"Rs 15,86,913",Rs 0
Allahabad,PRATAPPUR,GEN,KARAN SINGH,M,GEN,33,ADAL,64151,2,0,Graduate,"Rs 89,03,044",Rs 0
Allahabad,PRATAPPUR,GEN,MOHD MUJTABA SIDDQUI,M,GEN,61,BSP,66805,1,0,Graduate Professional,"Rs 3,40,52,641","Rs 66,23,552"
PILIBHIT,PURANPUR,SC,KAMAL KISHORE ARVIND,M,SC,60,BSP,20139,3,0,Others,"Rs 1,75,01,139","Rs 20,00,000"
PILIBHIT,PURANPUR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2246,4,0,0,0,0
PILIBHIT,PURANPUR,SC,PEETAM RAM,M,SC,55,SP,89251,2,0,Literate,"Rs 1,50,63,266",Rs 0
Muzaffarnagar,PURQAZI,SC,ANIL KUMAR,M,SC,42,BSP,46401,3,0,12th Pass,"Rs 10,69,49,363","Rs 6,00,000"
Muzaffarnagar,PURQAZI,SC,CHOTI,F,SC,43,RLD,8227,4,0,Literate,"Rs 15,33,945","Rs 55,19,991"
Muzaffarnagar,PURQAZI,SC,DEEPAK KUMAR,M,SC,60,INC,66238,2,0,Graduate Professional,"Rs 3,24,56,900","Rs 15,30,000"
Muzaffarnagar,PURQAZI,SC,PRAMOD UTWAL,M,SC,49,BJP,77491,1,0,8th Pass,"Rs 99,35,502",Rs 0
Unnao,PURWA,GEN,ANIL KUMAR SINGH,M,GEN,35,BSP,97567,1,0,12th Pass,"Rs 8,00,000",Rs 0
Unnao,PURWA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2719,4,0,0,0,0
Unnao,PURWA,GEN,UTTAM CHANDRA URF RAKESH LODHI,M,GEN,50,BJP,71084,2,0,Post Graduate,"Rs 5,33,24,744","Rs 36,92,169"
Rae Bareli,RAE BARELI,GEN,ADITI SINGH,F,GEN,29,INC,128319,1,0,Post Graduate,"Rs 13,98,456","Rs 44,90,234"
Rae Bareli,RAE BARELI,GEN,ANITA SRIVASTAVA,F,GEN,40,BJP,28821,3,0,Graduate Professional,"Rs 1,09,89,569","Rs 8,98,676"
Rae Bareli,RAE BARELI,GEN,MHD. SHAHBAZ KHAN,M,GEN,35,BSP,39156,2,0,Graduate,"Rs 5,46,42,570","Rs 2,39,37,690"
Rae Bareli,RAE BARELI,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,3448,4,0,0,0,0
Barabanki,RAM NAGAR,GEN,HAFEEZ BHARTI,M,GEN,52,BSP,53891,3,0,12th Pass,"Rs 1,32,28,478","Rs 10,00,000"
Barabanki,RAM NAGAR,GEN,SHARAD KUMAR AWASTHI,M,GEN,52,BJP,88937,1,0,Post Graduate,"Rs 2,91,41,248","Rs 21,35,019"
Kushinagar,RAMKOLA,SC,BUDDHA UPASAK KASHYAP,M,SC,32,NINSHAD,6602,4,0,Post Graduate,"Rs 23,48,219","Rs 6,00,000"
Kushinagar,RAMKOLA,SC,RAMANAND,M,SC,47,SBSP,102782,1,0,Graduate,"Rs 11,95,656",Rs 0
Kushinagar,RAMKOLA,SC,VIJAY KUMAR,M,SC,41,BSP,28471,3,0,8th Pass,"Rs 4,13,31,099","Rs 2,50,000"
Rampur,RAMPUR,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1191,4,0,0,0,0
Deoria,RAMPUR KARKHANA,GEN,FASIHA MANZER GHAZALA LARI,F,GEN,46,SP,52899,2,0,10th Pass,"Rs 7,86,04,212","Rs 47,36,613"
Deoria,RAMPUR KARKHANA,GEN,GIRIJESH ALIAS GUDDU SHAHI,M,GEN,45,IND,41814,3,0,12th Pass,"Rs 1,82,17,324","Rs 29,80,000"
Deoria,RAMPUR KARKHANA,GEN,KAMLESH SHUKLA,M,GEN,64,BJP,62886,1,0,8th Pass,"Rs 20,67,09,607","Rs 13,28,675"
Deoria,RAMPUR KARKHANA,GEN,RAJEEV KUMAR SINGH,M,GEN,41,BSP,22610,4,0,10th Pass,"Rs 2,43,84,975","Rs 11,54,890"
Pratapgarh,RAMPUR KHAS,GEN,ARADHANA MISHRA MONA,F,GEN,42,INC,81463,1,0,12th Pass,"Rs 32,33,25,844",Rs 0
Pratapgarh,RAMPUR KHAS,GEN,ASHOK SINGH,M,GEN,50,BSP,7933,3,0,Graduate,"Rs 2,37,08,334",Rs 0
Saharanpur,RAMPUR MANIHARAN,SC,DEVENDER KUMAR NIM,M,SC,47,BJP,76465,1,0,Graduate,"Rs 4,30,50,274","Rs 10,00,000"
Saharanpur,RAMPUR MANIHARAN,SC,N-O-T-A,NULL,NULL,NULL,NOTA,856,4,0,0,0,0
Pratapgarh,RANIGANJ,GEN,SHAKEEL AHMAD KHAN,M,GEN,36,BSP,58022,2,0,12th Pass,"Rs 1,36,41,524",Rs 0
Pratapgarh,RANIGANJ,GEN,SHIVAKANT,M,GEN,65,SP,37816,3,0,Post Graduate,"Rs 3,12,21,702","Rs 7,69,369"
Pratapgarh,RANIGANJ,GEN,SHREENATH,M,GEN,55,NINSHAD,2052,4,0,12th Pass,"Rs 60,94,000","Rs 10,74,000"
Ballia,RASARA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1558,4,0,0,0,0
Ballia,RASARA,GEN,SANATAN,M,GEN,58,SP,37006,3,0,Others,"Rs 2,18,26,000","Rs 31,12,000"
Kanpur Dehat,RASULABAD,SC,ARUN KUMARI KORI,F,SC,43,SP,54996,2,0,Post Graduate,"Rs 2,03,94,475","Rs 11,57,636"
Kanpur Dehat,RASULABAD,SC,NIRMALA SANKHWAR,F,SC,47,BJP,88390,1,0,Graduate Professional,"Rs 3,20,77,287","Rs 11,00,000"
Kanpur Dehat,RASULABAD,SC,N-O-T-A,NULL,NULL,NULL,NOTA,1421,4,0,0,0,0
Kanpur Dehat,RASULABAD,SC,POONAM SANKHAVAR,F,SC,39,BSP,41060,3,0,Post Graduate,"Rs 2,47,93,000","Rs 16,06,000"
Hamirpur,RATH,SC,GAYADEEN ANURAGI,M,SC,67,INC,42883,2,0,Post Graduate,"Rs 62,60,771",Rs 0
Hamirpur,RATH,SC,MANISHA ANURAGI,F,SC,35,BJP,147526,1,0,Post Graduate,"Rs 6,33,593",Rs 0
Hamirpur,RATH,SC,N-O-T-A,NULL,NULL,NULL,NOTA,4595,4,0,0,0,0
Sonbhadra,ROBERTSGANJ,GEN,AVINASH KUSHVAHA,M,GEN,34,SP,49394,2,0,Graduate,"Rs 1,94,10,604",Rs 0
Sonbhadra,ROBERTSGANJ,GEN,PRABHUDAYAL,M,GEN,63,IND,3697,4,0,12th Pass,"Rs 11,00,000",Rs 0
Sonbhadra,ROBERTSGANJ,GEN,SUNIL KUMAR SINGH YADAV,M,GEN,35,BSP,39336,3,0,Graduate,"Rs 5,00,82,856","Rs 20,03,550"
Varanasi,ROHANIYA,GEN,KRISHNA PATEL,F,GEN,61,IND,9549,4,0,12th Pass,"Rs 14,48,80,601","Rs 6,59,00,000"
Varanasi,ROHANIYA,GEN,PRAMOD KUMAR SINGH,M,GEN,39,BSP,30531,3,0,Graduate,"Rs 14,65,08,453","Rs 1,17,000"
Varanasi,ROHANIYA,GEN,SURENDRA NARAYAN SINGH,M,GEN,61,BJP,119885,1,0,Post Graduate,"Rs 4,50,18,299",Rs 0
Barabanki,RUDAULI,GEN,ABBAS ALI ZAIDI URF RUSHDI MIYAN,M,GEN,44,SP,59052,4,0,Graduate,"Rs 2,22,77,366","Rs 16,75,000"
Basti,RUDHAULI,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2221,4,0,0,0,0
Basti,RUDHAULI,GEN,RAJENDRA PRASAD CHAUDHARY,M,GEN,56,BSP,68423,2,0,Post Graduate,"Rs 3,77,71,191","Rs 20,89,628"
Basti,RUDHAULI,GEN,SAYEED AHMAD KHAN,M,GEN,56,INC,51743,3,0,10th Pass,"Rs 7,30,98,238","Rs 20,00,000"
Deoria,RUDRAPUR,GEN,AKHILESH PRATAP SINGH,M,GEN,56,INC,50965,2,0,Post Graduate,"Rs 2,42,09,418","Rs 35,32,580"
Deoria,RUDRAPUR,GEN,JAI PRAKASH NISHAD,M,GEN,59,BJP,77754,1,0,Graduate,"Rs 1,09,89,731","Rs 5,20,933"
Deoria,RUDRAPUR,GEN,KAUSHAL PANDEY,M,GEN,44,NINSHAD,2591,4,0,Graduate,"Rs 30,12,000","Rs 9,00,000"
Hathras,SADABAD,GEN,PRITEE CHAUDHARY,F,GEN,38,BJP,36134,3,0,Post Graduate,"Rs 28,22,760",Rs 0
Hathras,SADABAD,GEN,RAMVEER UPADHYAY,M,GEN,59,BSP,91365,1,0,Graduate Professional,"Rs 10,39,26,349","Rs 2,29,75,834"
Sultanpur,SADAR,GEN,RAJ PRASAD UPADHAYAY,M,GEN,52,BSP,50177,2,0,Post Graduate,"Rs 3,63,85,013","Rs 3,25,000"
Unnao,SAFIPUR,SC,BABLU RAWAT,M,SC,26,RLD,2056,4,0,8th Pass,"Rs 51,000",Rs 0
Unnao,SAFIPUR,SC,BAMBA LAL,M,SC,42,BJP,84068,1,0,Graduate,"Rs 13,59,30,422","Rs 9,00,000"
Unnao,SAFIPUR,SC,SUDHIR KUMAR,M,SC,44,SP,48506,3,0,Graduate,"Rs 1,63,43,249","Rs 18,52,254"
Azamgarh,SAGRI,GEN,BANDANA SINGH,F,GEN,35,BSP,62203,1,0,Post Graduate,"Rs 1,44,03,735",Rs 0
Azamgarh,SAGRI,GEN,DEVENDRA KUMAR SINGH,M,GEN,57,BJP,40786,3,0,Others,"Rs 1,56,70,396","Rs 1,62,641"
Azamgarh,SAGRI,GEN,JAIRAM PATEL,M,GEN,61,SP,56728,2,0,Graduate Professional,"Rs 75,01,010",Rs 0
Gorakhpur,SAHAJANWA,GEN,SHEETAL PANDEY,M,GEN,63,BJP,72213,1,0,Graduate,"Rs 19,92,406",Rs 0
Saharanpur,SAHARANPUR,GEN,JAGPAL SINGH,M,SC,58,BSP,75365,2,0,12th Pass,"Rs 2,11,26,970","Rs 4,00,000"
Saharanpur,SAHARANPUR,GEN,MANOJ CHAUDHARY,M,GEN,44,BJP,58752,3,0,Post Graduate,"Rs 1,20,26,000",Rs 0
Saharanpur,SAHARANPUR,GEN,MASOOD AKHTAR,M,GEN,54,INC,87689,1,0,Graduate,"Rs 7,13,46,632","Rs 49,92,000"
Saharanpur,SAHARANPUR,GEN,SAAD ALI KHAN,M,GEN,33,IND,10950,4,0,Post Graduate,"Rs 75,88,182","Rs 9,18,743"
Saharanpur,SAHARANPUR NAGAR,GEN,BHOORA MALIK,M,GEN,40,RLD,934,4,0,Illiterate,"Rs 21,59,951",Rs 0
Saharanpur,SAHARANPUR NAGAR,GEN,MUKESH DIXIT,M,GEN,47,BSP,17350,3,0,12th Pass,"Rs 41,02,432",Rs 0
Saharanpur,SAHARANPUR NAGAR,GEN,SANJAY GARG,M,GEN,59,SP,127210,1,0,Graduate Professional,"Rs 7,49,37,760","Rs 33,06,700"
Budaun,SAHASWAN,GEN,ARSHAD ALI,M,GEN,46,BSP,73274,2,0,8th Pass,"Rs 9,84,60,013","Rs 52,65,747"
Budaun,SAHASWAN,GEN,ASHTOSH VARSHNEY,M,GEN,38,BJP,24152,4,0,10th Pass,"Rs 1,65,98,583",Rs 0
Budaun,SAHASWAN,GEN,OMKAR SINGH,M,GEN,66,SP,77543,1,0,Graduate Professional,"Rs 4,58,12,319",Rs 0
Budaun,SAHASWAN,GEN,UMLESH YADAV,F,GEN,59,RPD,57522,3,0,10th Pass,"Rs 55,10,05,730","Rs 7,95,38,654"
Ghaziabad,SAHIBABAD,GEN,AMARPAL,M,GEN,49,INC,112056,2,0,12th Pass,"Rs 24,24,48,764","Rs 1,27,000"
Ghaziabad,SAHIBABAD,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,3057,4,0,0,0,0
Ghazipur,SAIDPUR,SC,RAJIV KIRAN,M,SC,33,BSP,59726,3,0,Post Graduate,"Rs 1,10,33,000","Rs 6,80,000"
Ghazipur,SAIDPUR,SC,SANTOSH,M,SC,33,NINSHAD,2451,4,0,12th Pass,"Rs 5,52,000","Rs 1,50,000"
Ghazipur,SAIDPUR,SC,SUBHASH PASSI,M,SC,53,SP,76664,1,0,10th Pass,"Rs 40,82,25,865","Rs 7,15,00,000"
Ghazipur,SAIDPUR,SC,VIDYASAGAR SONKAR,M,SC,55,BJP,67954,2,0,Graduate Professional,"Rs 3,94,93,483",Rs 0
Chandauli,SAIYADRAJA,GEN,CHANDRAVANSH,M,GEN,43,RLD,1498,4,0,12th Pass,"Rs 7,44,000",Rs 0
Chandauli,SAIYADRAJA,GEN,MANOJ KUMAR,M,GEN,43,SP,44832,3,0,Post Graduate,"Rs 69,84,489","Rs 20,00,000"
Chandauli,SAKALDIHA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1787,4,0,0,0,0
Chandauli,SAKALDIHA,GEN,SURYAMUNI TIWARI,M,GEN,44,BJP,64906,2,0,12th Pass,"Rs 1,44,37,755","Rs 64,72,262"
Deoria,SALEMPUR,SC,KALI PRASAD,M,SC,51,BJP,76175,1,0,Graduate,"Rs 26,70,016","Rs 2,00,000"
Deoria,SALEMPUR,SC,RANVIJAY,M,SC,37,BSP,28152,3,0,Post Graduate,"Rs 30,65,000",Rs 0
Deoria,SALEMPUR,SC,VIJAY LAXMI GAUTAM,F,SC,54,SP,50521,2,0,Post Graduate,"Rs 1,48,00,000","Rs 2,62,000"
Rae Bareli,SALON,SC,BRAJ LAL PASI,M,SC,68,BSP,39851,3,0,Post Graduate,"Rs 3,80,59,180",Rs 0
Rae Bareli,SALON,SC,DAL BAHADUR,M,SC,61,BJP,78028,1,0,10th Pass,"Rs 41,87,427","Rs 2,04,993"
Rae Bareli,SALON,SC,N-O-T-A,NULL,NULL,NULL,NOTA,3540,4,0,0,0,0
Sambhal,SAMBHAL,GEN,DR. ARVIND,M,GEN,60,BJP,59976,2,0,Post Graduate,"Rs 15,89,28,910","Rs 4,20,81,520"
Sambhal,SAMBHAL,GEN,JIYAURRAHMAN,M,GEN,29,AIMIM,59336,3,0,Graduate Professional,"Rs 44,50,379",Rs 0
Sambhal,SAMBHAL,GEN,RAFATULLA,M,GEN,57,BSP,36705,4,0,Literate,"Rs 2,45,25,883",Rs 0
Hardoi,SANDI,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2222,4,0,0,0,0
Hardoi,SANDI,SC,OMENDRA KUMAR VERMA,M,SC,44,INC,51819,2,0,Graduate Professional,"Rs 37,74,044",Rs 0
Hardoi,SANDI,SC,PRABHASH KUMAR,M,SC,54,BJP,72044,1,0,12th Pass,"Rs 2,82,20,000",Rs 0
Hardoi,SANDI,SC,VIRENDRA KUMAR,M,SC,44,BSP,50725,3,0,Graduate,"Rs 5,30,85,000","Rs 12,50,000"
Hardoi,SANDILA,GEN,ABDUL MANNAN,M,GEN,60,SP,69959,2,0,Graduate,"Rs 2,54,22,000","Rs 30,00,000"
Hardoi,SANDILA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1532,4,0,0,0,0
Hardoi,SANDILA,GEN,PAWAN KUMAR SINGH,M,GEN,49,BSP,29223,3,0,Graduate Professional,"Rs 10,74,99,075","Rs 23,35,105"
Hardoi,SANDILA,GEN,RAJ KUMAR AGRAWAL URF RAJIA,M,GEN,68,BJP,90362,1,0,8th Pass,"Rs 3,88,13,226","Rs 2,27,234"
Meerut,SARDHANA,GEN,VAKIL CHAUDHARY,M,GEN,42,RLD,3920,4,0,8th Pass,"Rs 1,62,98,000",Rs 0
Rae Bareli,SARENI,GEN,DEVENDRA PRATAP SINGH,M,GEN,59,SP,32792,4,0,Post Graduate,"Rs 2,71,72,475","Rs 22,50,000"
Rae Bareli,SARENI,GEN,THAKUR PRASAD YADAV,M,GEN,49,BSP,52866,2,0,12th Pass,"Rs 8,94,42,518","Rs 1,74,44,263"
Lucknow,SAROJINI NAGAR,GEN,ANURAG ALIAS ANURAG YADAV,M,GEN,43,SP,74327,2,0,Graduate Professional,"Rs 6,90,62,434","Rs 69,15,399"
Lucknow,SAROJINI NAGAR,GEN,SHIV SHANKAR SINGH ALIAS SHANKARI SINGH,M,GEN,44,BSP,71791,3,0,12th Pass,"Rs 2,39,000",Rs 0
Lucknow,SAROJINI NAGAR,GEN,SWATI SINGH,F,GEN,38,BJP,108506,1,0,Post Graduate,"Rs 2,88,59,492",Rs 0
Hardoi,SAWAYAZPUR,GEN,KUNVAR MADHVENDRA PRATAP,M,GEN,44,BJP,92601,1,0,Graduate,"Rs 8,86,90,394","Rs 38,66,145"
Hardoi,SAWAYAZPUR,GEN,PADAMRAG SINGH YADAV,M,GEN,38,SP,65631,2,0,Post Graduate,"Rs 1,89,27,580","Rs 1,00,000"
Hardoi,SAWAYAZPUR,GEN,YADUNANDAN LAL,M,GEN,62,JAM,3569,4,0,Post Graduate,"Rs 1,10,09,000","Rs 3,43,000"
Sitapur,SEVATA,GEN,ENGINEER MOHAMMAD NASIM,M,GEN,50,BSP,51038,2,0,Post Graduate,"Rs 1,14,95,254",Rs 0
Sitapur,SEVATA,GEN,GYAN TIWARI,M,GEN,48,BJP,94697,1,0,Graduate,"Rs 5,53,73,102","Rs 1,24,89,981"
Hardoi,SHAHABAD,GEN,ASIF KHAN,M,GEN,55,BSP,95364,2,0,Graduate,"Rs 3,25,63,704","Rs 61,87,746"
Hardoi,SHAHABAD,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2615,4,0,0,0,0
Hardoi,SHAHABAD,GEN,RAJANI TIWARI,F,GEN,42,BJP,99624,1,0,Graduate,"Rs 2,77,12,067","Rs 19,20,000"
Hardoi,SHAHABAD,GEN,SARTAJ KHAN,M,GEN,47,SP,15767,3,0,Graduate,"Rs 1,97,52,000","Rs 9,50,000"
Shahjahanpur,SHAHJAHANPUR,GEN,MANISH CHANDRA,M,SC,30,CPI,1309,4,0,Graduate,"Rs 10,87,153",Rs 0
Shahjahanpur,SHAHJAHANPUR,GEN,MOHAMMAD ASLAM KHAN,M,GEN,56,BSP,16546,3,0,Graduate Professional,"Rs 1,03,85,635","Rs 8,66,851"
Shahjahanpur,SHAHJAHANPUR,GEN,SURESH KUMAR KHANNA,M,GEN,63,BJP,100734,1,0,Graduate Professional,"Rs 80,83,249","Rs 60,000"
Shamli,SHAMLI,GEN,BIJENDRA SINGH,M,GEN,44,RLD,33551,3,0,Graduate,"Rs 1,43,07,319",Rs 0
Shamli,SHAMLI,GEN,PANKAJ KUMAR MALIK,M,GEN,38,INC,40365,2,0,Graduate Professional,"Rs 5,35,91,729","Rs 35,67,200"
Shamli,SHAMLI,GEN,TEJENDRA NIRWAL,M,GEN,51,BJP,70085,1,0,Post Graduate,"Rs 1,52,58,057","Rs 31,06,162"
