"","Target","Fitted"
"5",1,0.816776024341638
"14",1,0.962080162402466
"16",1,0.908624298299948
"26",1,0.0658546194194989
"28",1,0.999954130369196
"29",1,0.848232206148264
"36",1,0.999594966213505
"39",1,0.77182045660535
"40",1,0.65870539555134
"50",1,0.966689290037444
"53",1,0.994350081127463
"58",1,0.31193804595009
"60",1,0.82976329263866
"61",1,0.364837433765396
"66",1,0.97619900616722
"72",1,0.993483848787106
"74",1,0.987407436811497
"81",1,0.960900409323274
"86",1,0.345549429474394
"90",1,0.983266471745334
"92",1,0.913360161626286
"100",1,0.94906165547742
"111",1,0.671033057098938
"113",1,0.859489705931371
"116",1,0.952922144699774
"117",1,0.412268343454942
"120",1,0.996234650860562
"121",1,0.960872558434595
"122",1,0.995976998425302
"123",1,0.988675596735654
"124",1,0.943259946979338
"131",1,0.966297331125984
"135",1,0.617701796188957
"137",1,0.238468968189325
"140",1,0.998216390670008
"142",1,0.999923278968635
"147",1,0.770861993344632
"149",1,0.891031237046694
"154",1,0.998570711570905
"156",1,0.273989675166949
"158",1,0.829239272438847
"169",1,0.948983979874075
"171",1,0.969941492500165
"173",1,0.786932779500294
"176",1,0.996044715975076
"185",1,0.810332090442412
"187",1,0.994543088301073
"190",1,0.959861918611337
"192",1,0.868219375858491
"194",1,0.916027828885863
"195",1,0.774743543884293
"196",1,0.870505687825692
"197",1,0.518050725440127
"198",1,0.99983944134795
"199",1,0.997757912853981
"204",1,0.413309428524691
"206",1,0.965532914995873
"210",1,0.979078690532091
"214",1,0.990019902746981
"216",1,0.981618751441989
"218",1,0.866271351649375
"220",1,0.940113789323822
"227",1,0.384715579781088
"231",1,0.995705490043138
"234",1,0.911435266099785
"237",1,0.881202993522545
"240",1,0.814603598422432
"245",1,0.660867801832141
"247",1,0.919870575599895
"249",1,0.877708057319834
"250",1,0.981740917133752
"261",1,0.445438897134758
"267",1,0.962053118673397
"270",1,0.830668565222762
"272",1,0.999702787248969
"274",1,0.42055187620461
"277",1,0.982167662551878
