"","Target","Fitted"
"767",0,0.359246434322377
"769",0,0.670489150358904
"771",0,0.137973471818997
"772",0,0.771276221956522
"773",0,0.251441275514425
"781",0,0.41140076443485
"787",0,0.61656369714513
"789",0,0.140862965400376
"791",0,0.146110894499207
"795",0,0.859059954229487
"798",0,0.284679617370259
"800",0,0.031528183956049
"802",0,0.0020265232331494
"813",0,0.000142096106340892
"818",0,0.00841056574849084
"826",0,0.00965568925506868
"832",0,0.0178816927100803
"833",0,0.0134670484635036
"834",0,0.000945550649763517
"837",0,0.000185739472481058
"846",0,0.00243797702982864
"848",0,0.0112124220938228
"849",0,0.0265434816325051
"850",0,0.00212788499825102
"852",0,0.00416693215384069
"853",0,0.00169689972029813
"859",0,0.0468776091648916
"860",0,0.0005833865490786
"866",0,0.00105023210970784
"868",0,0.142062957548099
"871",0,0.0300613365865239
"872",0,0.00212003205840763
"873",0,0.00626198484647592
"875",0,0.0200364554090737
"886",0,0.0649632886856275
"891",0,0.0145161482320146
"892",0,0.125913666834262
"899",0,0.0863255098265175
"900",0,0.00443391342016711
"903",0,0.0281021808087399
"905",0,0.00181193072528193
"909",0,0.00991415592935698
"918",0,0.000273810705055639
"919",0,0.570961855282605
"920",0,0.00947086201129189
"927",0,0.0116431990886164
"932",0,0.00113693825078479
"941",0,0.0253909710448013
"943",0,0.00121480527164365
"944",0,0.00331534031135591
"951",0,0.0221594778329502
"952",0,0.0128199815622774
"954",0,0.00152353316669612
"955",0,0.191511929329418
"957",0,0.251718970072288
"963",0,0.00722757695323489
"964",0,0.000436486446668741
"971",0,0.0294763360740076
"972",0,0.0116250554932034
"974",0,0.00243377544776378
"977",0,0.021583513982008
"979",0,0.0015508290348947
"981",0,0.00438403751930974
"982",0,0.012333829844264
"985",0,0.00573646087124807
"988",0,0.000652654477029995
"993",0,0.041900350190032
"997",0,0.0245372757928477
"999",0,0.00332924495279717
"1001",0,0.00119784135656167
"1005",0,0.20419036424553
"1009",0,0.0397958677322403
"1010",0,0.015293934636109
"1012",0,0.00018853552752463
"1020",0,8.6535796641088e-05
"1024",0,0.0071886884260421
"1027",0,0.000638472075118588
"1032",0,0.00102741909392463
"1034",0,0.0150943471720125
"1039",0,0.0381266759372313
"1041",0,0.050201781678276
"1044",0,0.173166248882402
"1045",0,0.00169021778235474
"1050",0,0.00339880801704147
"1052",0,0.00157123333370277
"1058",0,0.00159013996717365
"1060",0,0.0100902603999378
"1063",0,0.00732122499126583
"1066",0,0.0194885938571692
"1067",0,0.0277701482501966
"1082",0,0.0561004799756527
"1083",0,0.00295702126063849
"1097",0,6.86741156240044e-05
"1098",0,0.00383774482804054
"1099",0,0.0097625627377816
"1111",0,0.0394150743557266
"1114",0,0.0296073460259828
"1116",0,0.666299315305643
"1117",0,0.127623435746711
"1119",0,0.0105570751375957
"1122",0,0.00387808874004771
"1124",0,0.000271923981722945
"1129",0,0.0588433614015393
"1131",0,0.00312818540455032
"1132",0,0.00578811368553371
"1137",0,0.00019703269728084
"1140",0,0.231536882805241
"1144",0,0.0133039441100378
"1162",0,0.00156581761222341
"1166",0,0.000195481714539176
"1169",0,0.000184847129343623
"1175",0,0.00569434983522943
"1176",0,0.009886311338837
"1183",0,0.0154078104046295
"1184",0,0.00572098432726536
"1187",0,0.00891420581454467
"1195",0,0.00278797627339289
"1203",0,0.000318984121908197
"1206",0,0.00208370806373088
"1207",0,0.000349112509141106
"1208",0,0.000328131717046364
"1210",0,0.000369239668797519
"1213",0,0.000554718308862268
"1215",0,0.000386556151994169
"1216",0,0.00159441546310187
"1218",0,0.000987861108299045
"1219",0,0.000369741461516905
"1222",0,0.000526952083337502
"1230",0,0.00102777100187355
"1233",0,0.00200831530253613
"1234",0,0.000956201011652118
"1236",0,0.00102056840919453
"1241",0,0.0124498758402286
"1249",0,0.00032740329223254
"1250",0,0.000393041924981369
"1251",0,0.00133501922935707
"1254",0,0.000826451602725039
"1257",0,0.000307916799397793
"1260",0,0.000647821121635146
"1261",0,0.00066548845617249
"1263",0,0.00242263903919935
"1264",0,0.000322747619669317
"1278",0,0.000890489070739935
"1279",0,0.00147105696307029
"1280",0,0.000606723958336618
"1294",0,0.000595679649947987
"1296",0,0.000708393846957543
"1302",0,0.000961406405500045
"1306",0,0.000401526838135681
"1313",0,0.000530476379166912
"1318",0,0.0455923629766091
"1322",0,0.000484537838217954
"1323",0,0.000385354225945063
"1324",0,0.000927612643652312
"1337",0,0.00048572215210145
"1341",0,0.0022343052817679
"1342",0,0.000795999240574205
"1343",0,0.000649101714713757
"1344",0,0.000794037008920506
"1346",0,0.00033151157983011
"1352",0,0.00101491778764488
"1355",0,0.0009970449795336
"1365",0,0.000888074919837862
"1372",0,0.00141587751580968
"1373",0,0.000562301696002658
"1374",0,0.000310512898541693
"1376",0,0.000638690847486673
"1382",0,0.000344871323275013
"1383",0,0.000337083444190273
"1384",0,0.000347178272063606
"1385",0,0.000430918185414552
"1387",0,0.000742753718474728
"1393",0,0.000160217708679296
"1397",0,0.00033229016568809
"1399",0,0.000398033684584934
"1400",0,0.000488850125962148
"1403",0,0.00364749303798383
"1404",0,0.000298373205774343
"1406",0,0.000334926244629533
"1416",0,5.5820531341368e-05
"1417",0,0.000171667952558638
"1421",0,0.00301437309478471
"1422",0,0.00135894224792794
"1423",0,0.000409183278832847
"1426",0,0.00034640758015111
"1432",0,0.00091456796478526
"1438",0,0.00071047558074845
"1439",0,0.000330816496350654
"1444",0,0.000327726836811295
"1445",0,0.00417399810083758
"1461",0,0.000390623192574642
"1462",0,0.000349198724818562
"1463",0,5.48365988412563e-05
"1464",0,0.000344573398504832
"1465",0,3.9565048990179e-05
"1473",0,0.00967433847257381
"1474",0,0.000691956281033829
"1481",0,0.000340135276601177
"1482",0,4.13280755744586e-05
"1485",0,4.09369253523711e-05
"1490",0,4.27030284738064e-05
"1493",0,4.01557757636929e-05
"1499",0,3.96237285023592e-05
"1500",0,3.78725514210121e-05
"1504",0,4.23249933678549e-05
"1505",0,4.33834468665974e-05
"1506",0,4.20021458077279e-05
"1508",0,4.10787316252757e-05
"1514",0,4.56142086022855e-05
"1521",0,4.59704958718731e-05
"1526",0,4.29039063197768e-05
"1527",0,3.78959452382902e-05
"1531",0,4.26450553442235e-05
"1539",0,4.49154430855137e-05
"1541",0,4.32016603943237e-05
"1547",0,4.38791839346678e-05
"1554",0,4.82388618980392e-05
"1561",0,4.41946209507337e-05
"1573",0,4.06648226980876e-05
"1581",0,3.93798031952884e-05
"1582",0,3.87191140881071e-05
"1584",0,4.2739961490482e-05
"1586",0,4.05094335305619e-05
"1593",0,4.07855332147585e-05
"1596",0,4.09369253523711e-05
